Carimbo de data/hora,Pontuação,Iniciais
2021-09-30 17:50:00.220,72,tlmda
2021-09-30 18:22:51.524,54,rcv
2021-09-30 19:13:51.825,64,rcg
2021-09-30 19:26:12.291,60,rcg
2021-09-30 21:57:48.809,64,eado
2021-10-01 10:43:46.259,48,lfxado
2021-10-01 12:15:21.946,22,ardcs
2021-10-01 13:41:44.471,44,hbv
2021-10-01 17:10:30.131,64,rcv
2021-10-01 18:27:28.933,48,mlpv
2021-10-01 19:13:54.287,40,ecr
2021-10-02 09:58:21.338,70,mmds
2021-10-02 13:55:32.997,28,bdcs
2021-10-02 14:00:05.942,12,bdcs
2021-10-02 14:58:20.153,52,pgl
2021-10-02 16:19:08.696,74,vhcdsg
2021-10-02 16:27:28.892,52,sndfa
2021-10-02 16:36:51.137,52,amdc
2021-10-02 16:54:11.269,48,rmc
2021-10-02 16:58:19.978,78,rmdbs
2021-10-02 16:58:45.481,40,mads
