Carimbo de data/hora,Pontuação,Iniciais
2021-09-29 18:50:24.023,90,RCG
2021-09-29 21:01:39.813,88,RCV
2021-09-29 21:04:12.014,100,TLMdA
2021-09-29 21:44:19.368,74,EAdO
2021-09-30 14:17:48.962,75,LFXAdO
2021-09-30 17:16:55.549,70,ECR
2021-09-30 18:03:28.386,88,FdAV
2021-09-30 20:21:49.131,100,MMdS
2021-09-30 20:32:50.744,68,LSdS
2021-09-30 21:03:01.077,90,VHCdSG
2021-09-30 21:43:58.466,98,MLPV
2021-09-30 23:09:38.192,100,RMdBS
2021-09-30 23:27:00.970,100,SLdS
2021-10-01 10:49:41.105,68,ARdCS
2021-10-01 13:22:56.340,80,BdCS
2021-10-01 13:28:05.483,88,RMC
2021-10-01 13:33:30.191,43,HBV
2021-10-01 15:02:56.802,80,SNdFA
2021-10-01 16:02:10.124,68,PGL
2021-10-01 16:11:20.711,90,MAdS
2021-10-01 16:26:03.839,90,MAdS
2021-10-01 16:26:53.537,65,JVPMA
2021-10-01 16:34:27.430,68,LN
2021-10-01 16:59:18.446,72,AMdC
